Room,Task,Phase 1 W1 Monday,Phase 1 W1 Tuesday,Phase 1 W1 Wednesday,Phase 1 W1 Thursday,Phase 1 W1 Friday,Phase 1 W2 Monday,Phase 1 W2 Tuesday,Phase 1 W2 Wednesday,Phase 1 W2 Thursday,Phase 1 W2 Friday,Phase 2 W1 Monday,Phase 2 W1 Tuesday,Phase 2 W1 Wednesday,Phase 2 W1 Thursday,Phase 2 W1 Friday,Phase 2 W2 Monday,Phase 2 W2 Tuesday,Phase 2 W2 Wednesday,Phase 2 W2 Thursday,Phase 2 W2 Friday,Phase 3 W1 Monday,Phase 3 W1 Tuesday,Phase 3 W1 Wednesday,Phase 3 W1 Thursday,Phase 3 W1 Friday,Phase 3 W2 Monday,Phase 3 W2 Tuesday,Phase 3 W2 Wednesday,Phase 3 W2 Thursday,Phase 3 W2 Friday,Phase 4 W1 Monday,Phase 4 W1 Tuesday,Phase 4 W1 Wednesday,Phase 4 W1 Thursday,Phase 4 W1 Friday,Phase 4 W2 Monday,Phase 4 W2 Tuesday,Phase 4 W2 Wednesday,Phase 4 W2 Thursday,Phase 4 W2 Friday,Phase 5 W1 Monday,Phase 5 W1 Tuesday,Phase 5 W1 Wednesday,Phase 5 W1 Thursday,Phase 5 W1 Friday,Phase 5 W2 Monday,Phase 5 W2 Tuesday,Phase 5 W2 Wednesday,Phase 5 W2 Thursday,Phase 5 W2 Friday,Phase 6 W1 Monday,Phase 6 W1 Tuesday,Phase 6 W1 Wednesday,Phase 6 W1 Thursday,Phase 6 W1 Friday,Phase 6 W2 Monday,Phase 6 W2 Tuesday,Phase 6 W2 Wednesday,Phase 6 W2 Thursday,Phase 6 W2 Friday,Phase 7 W1 Monday,Phase 7 W1 Tuesday,Phase 7 W1 Wednesday,Phase 7 W1 Thursday,Phase 7 W1 Friday,Phase 7 W2 Monday,Phase 7 W2 Tuesday,Phase 7 W2 Wednesday,Phase 7 W2 Thursday,Phase 7 W2 Friday
Apartment / Բնակարան,Approvals | neighbors | site rules / Հաստատումներ | հարեւաններ | տարածքի կանոններ,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment / Բնակարան,Safety & assurance setup / Անվտանգության եւ վերահսկողության պատրաստում,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment / Բնակարան,Verify building rules and renovation time windows / Վերահսկել շենքի կանոնները և վերանորոգման ժամերը,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment / Բնակարան,Obtain buildingrenovation approval / Ստանալ շենքի վերանորոգման հաստատումը,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment / Բնակարան,Check permits required (structural, gas, electrical) / Ստուգել անհրաժեշտ թույլտվությունները (կառուցվածք, գազ, էլեկտրականություն),X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment / Բնակարան,Notify neighbors about noisy works / Ծանուցել հարևաններին աղմկոտ աշխատանքների մասին,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment / Բնակարան,Install temporary protection inside apartment / Տեղադրել ժամանակավոր պաշտպանություն բնակարանում,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment / Բնակարան,Protect common building areas (elevator|stairs|corridors) / Պաշտպանել ընդհանուր տարածքները (վերելակ|սանդուղք|միջանցքներ),X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment / Բնակարան,Arrange temporary construction utilities & welfare area / Կազմակերպել ժամանակավոր կոմունալներ և կենցաղային գոտի,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment / Բնակարան,Place long-lead orders and track ROS dates / Տեղադրել երկարաժամկետ պատվերներ և հետևել մատակարարման օրերին,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment / Բնակարան,Selective demolition and openings / Ընտրովի քանդման աշխատանքներ և բացվածքներ,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studio / Ստուդիա,Rough-in prep (layout marks) / Նախապատրաստել rough-in-ը (պիտակներ),X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kids Bedroom 1 / Մանկական ննջասենյակ 1,Rough-in prep (layout marks) / Նախապատրաստել rough-in-ը (պիտակներ),X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kids Bedroom 2 / Մանկական ննջասենյակ 2,Rough-in prep (layout marks) / Նախապատրաստել rough-in-ը (պիտակներ),X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Master Bedroom / Մեծ ննջասենյակ,Rough-in prep (layout marks) / Նախապատրաստել rough-in-ը (պիտակներ),X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Room / Տեխնիկական սենյակ,MEP rough-in / MEP rough-in,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,
Technical Room / Տեխնիկական սենյակ,Install gas boiler / Տեղադրել գազի կաթսա,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,
Technical Room / Տեխնիկական սենյակ,Install heating manifolds / Տեղադրել ջեռուցման կոլեկտորներ,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,
Main Bathroom / Հիմնական լոգասենյակ,Rough-in and frames / Rough-in և շրջանակներ,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,
Ensuite Bathroom / Սանհանգույց ննջասենյակից,Rough-in and frames / Rough-in և շրջանակներ,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,
Studio / Ստուդիա,MEP rough-in / MEP rough-in,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,
Kids Bedroom 1 / Մանկական ննջասենյակ 1,Rough-in / Rough-in,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,
Kids Bedroom 2 / Մանկական ննջասենյակ 2,Rough-in / Rough-in,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,
Master Bedroom / Մեծ ննջասենյակ,Rough-in / Rough-in,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,
Apartment / Բնակարան,Prepare inspection calendar and bookings / Պատրաստել ստուգումների օրացույց և բուքինգներ,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,
Technical Room / Տեխնիկական սենյակ,Commission boiler and heating/hot water (initial) / Սկզբնական հանձնարարում՝ կաթսա և տաք ջուր,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,
Studio / Ստուդիա,Surfaces ready / Մակերեսները պատրաստ են,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,
Kids Bedroom 1 / Մանկական ննջասենյակ 1,Surfaces ready / Մակերեսները պատրաստ են,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,
Kids Bedroom 2 / Մանկական ննջասենյակ 2,Surfaces ready / Մակերեսները պատրաստ են,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,
Master Bedroom / Մեծ ննջասենյակ,Surfaces ready / Մակերեսները պատրաստ են,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,
Main Bathroom / Հիմնական լոգասենյակ,Waterproofing and flood test / Ջրամեկուսացում և ջրալցման փորձ,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Ensuite Bathroom / Սանհանգույց ննջասենյակից,Waterproofing and flood test / Ջրամեկուսացում և ջրալցման փորձ,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Main Bathroom / Հիմնական լոգասենյակ,Tiling and sanitaryware / Սալիկապատում և սանտեխնիկա,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Ensuite Bathroom / Սանհանգույց ննջասենյակից,Tiling and sanitaryware / Սալիկապատում և սանտեխնիկա,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Studio / Ստուդիա,Flooring & skirting / Հատակ և փորագոտի,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,
Kids Bedroom 1 / Մանկական ննջասենյակ 1,Flooring and joinery / Հատակ և փայտագործություն,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,
Kids Bedroom 2 / Մանկական ննջասենյակ 2,Flooring and joinery / Հատակ և փայտագործություն,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,
Master Bedroom / Մեծ ննջասենյակ,Flooring and skirting / Հատակ և փորագոտի,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,
Closet / Պահարան,Joinery and flooring, garderobe / Փայտագործություն և հատակ,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,
Studio / Ստուդիա,Install kitchen and appliances (start templating) / Տեղադրել խոհանոցն ու կենցաղային տեխնիկա (կաղապարների մեկնարկ),,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,
Studio / Ստուդիա,Painting and lighting / Նկարում և լուսավորություն,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,
Kids Bedroom 1 / Մանկական ննջասենյակ 1,Surfaces and paint / Մակերեսներ և ներկում,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,
Kids Bedroom 2 / Մանկական ննջասենյակ 2,Surfaces and paint / Մակերեսներ և ներկում,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,
Master Bedroom / Մեծ ննջասենյակ,Final electrical / Վերջնական էլեկտրական աշխատանքներ,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,
Main Bathroom / Հիմնական լոգասենյակ,Finishes and accessories / Վերջնապատում և աքսեսուարներ,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,
Main Bathroom / Հիմնական լոգասենյակ,Final checks and ventilation / Վերջնական ստուգումներ և օդափոխություն,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,
Ensuite Bathroom / Սանհանգույց ննջասենյակից,Finishes and ventilation / Վերջնապատում և օդափոխություն,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,
Technical Room / Տեխնիկական սենյակ,Install washing machine / Տեղադրել լվացքի մեքենա,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,
Technical Room / Տեխնիկական սենյակ,Commission boiler and heating/hot water (final) / Վերջնական հանձնարարում՝ կաթսա և տաք ջուր,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,
Apartment / Բնակարան,Rough and intermediate cleaning / Սև և միջանկյալ մաքրում,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,
Apartment / Բնակարան,Compile closeout docs and handover plan / Ավարտական փաստաթղթեր և հանձնումի պլան,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,
All Rooms / Բոլոր սենյակներ,Rolling punch and corrections / Թերalarının շտկում և ընթացիկ վերանորոգումներ,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,
Apartment / Բնակարան,Final clean and walkthrough / Վերջնական մաքրում և շրջայց,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,
